gid;angulo;fecha_actua;hora_actual;idpm;ih;created_use;created_dat;last_edited;last_edited.1
27594;83;;;2825;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27603;166;;;3933;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27606;209;;;539;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27608;186;;;3135;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27610;220;;;2760;0;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27496;161;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;1820;36;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27487;161;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;1821;144;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27473;161;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;2821;90;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27488;161;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;1820;36;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27566;263;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;2545;180;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27472;161;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;2822;30;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27446;161;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;1437;120;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27431;101;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;3634;0;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27609;239;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;1163;252;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27388;239;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;1163;252;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27503;97;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;2544;210;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27500;149;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;231;120;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27379;224;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;236;180;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27543;122;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;1044;90;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27447;162;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;1438;30;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27598;162;2023-05-01 02:00:00+02:00;2023-05-01 15:23:00+02:00;1438;30;ADM_GIS;2022-03-21 01:53:48+01:00;ADM_GIS;2022-03-21 01:53:48+01:00
27493;158;;;2136;0;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27490;72;;;2050;0;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27481;114;;;1535;0;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
27480;206;;;1545;0;GIS;2022-03-11 07:30:46+01:00;GIS;2022-03-11 07:30:46+01:00
